resource,description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM31,development-management;conservation-area;heritage;listed-buildings,,2020-12-21,E07000007,Development affecting the Historic Environment,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM31
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM32,nature,,2020-12-21,E07000007,Landscape Character and Settlement Patterns,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM32
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM33,climate-change;energy;transport,,2020-12-21,E07000007,Managing Carbon Emissions: Transport and Energy Generation,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM33
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM34,biodiversity;development-management,,2020-12-21,E07000007,Delivering Green Infrastructure and Biodiversity in Development,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM34
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM35,design;development-management,,2020-12-21,E07000007,Placemaking and design quality,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM35
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM36,residential-alterations;existing-housing,,2020-12-21,E07000007,Extensions and alterations to existing dwellings,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM36
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM37,development-management,,2020-12-21,E07000007,Small scale non-residential development,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM37
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM38,water,,2020-12-21,E07000007,Water quality and supply,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM38
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM39,flooding,,2020-12-21,E07000007,Managing flood risk and sustainable drainage systems,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM39
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM40,development-management,,2020-12-21,E07000007,Internal space standards,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM40
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM41,accessibility;development-management,,2020-12-21,E07000007,Optional Technical Standards for Building Regulations Approval,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM41
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM42,green-belt,,2020-12-21,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,Managing development in the Green Belt,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM42
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM43,green-belt;housing;existing-housing;residential-alterations,,2020-12-21,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,The replacement or extension of dwellings in the Green Belt (including outbuildings),,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM43
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM44,development-management,,2020-12-21,E07000007,Development in the Countryside Outside of the Green Belt,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM44
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM45,green-belt,,2020-12-21,E07000007,Conversion of existing buildings in the Green Belt and other rural areas,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM45
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM46,area/location-specific-policy,,2020-12-21,GIS - 19SafeguardedLand,HS2 Safeguarded land,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM46
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,wdlp-DM47,area/location-specific-policy,,2020-12-21,GIS - 19SafeguardedLand,Princes Risborough to Aylesbury (PRA) Safeguarded land,,local-authority-eng:BUC,2019-08-19,development-policy/local-authority-eng/BUC/wdlp-DM47
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC1,development-management;town-centres,,2020-12-21,E07000007,Delivering the Town Centre Vision,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC2,town-centres,,2020-12-21,E07000007,Town Centre Environment,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC3,development-management,,2020-12-21,E07000007,"Connections, Movement and Access",,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC4,economy,,2020-12-21,E07000007,Economy,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC5,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: High Wycombe,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC5
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC6,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: High Wycombe,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC6
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC7,area/location-specific-policy,,2020-12-21,E07000007,Easton Street,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC7
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC8,area/location-specific-policy,,2020-12-21,E07000007,Council Offices and Royal Mail Sorting Office,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC8
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC9,area/location-specific-policy,,2020-12-21,E07000007,Land off Duke Street,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC9
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC10,area/location-specific-policy,,2020-12-21,E07000007,Swan Frontage,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC10
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC11,area/location-specific-policy,,2020-12-21,E07000007,Wycombe Hospital,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC11
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC12,area/location-specific-policy,,2020-12-21,E07000007,Chilterns Shopping Centre And Frogmoor East,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC12
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC13,area/location-specific-policy,,2020-12-21,E07000007,Lily’s Walk (Former Gas Works Site),,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC13
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC14,area/location-specific-policy,,2020-12-21,E07000007,Buckingham House and Castle House,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC14
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC15,area/location-specific-policy,,2020-12-21,E07000007,Collins House and Corner of Bridge Street/Desborough Road,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC15
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC16,area/location-specific-policy,,2020-12-21,E07000007,Oxford Road roundabout,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC16
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC17,area/location-specific-policy,,2020-12-21,E07000007,Bridge Street,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC17
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC18,area/location-specific-policy,,2020-12-21,E07000007,Baker Street,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC18
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC19,area/location-specific-policy,,2020-12-21,E07000007,Rapid House,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC19
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC20,area/location-specific-policy,,2020-12-21,E07000007,Oxford Road (west),,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC20
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HWTC21,area/location-specific-policy,,2020-12-21,E07000007,Central Business Centre,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HWTC21
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HW1,design;regeneration;strategic-policy,,2020-12-21,E07000007,Desborough Delivery and Design Framework,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HW1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HW2,open-space;water,,2020-12-21,E07000007,Delivering New Open Space and River Corridor Improvements,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HW2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-HW3,area/location-specific-policy,,2020-12-21,E07000007,Green Street School,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-HW3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-MR1,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: Marlow,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-MR1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-MR2,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: Marlow,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-MR2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-MR3,area/location-specific-policy,,2020-12-21,E07000007,Riley Road,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-MR3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-MR4,area/location-specific-policy,,2020-12-21,E07000007,Portlands,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-MR4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-MR5,area/location-specific-policy,,2020-12-21,E07000007,Liston Road,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-MR5
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-PR1,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: Princes Risborough,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-PR1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-PR2,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: Princes Risborough,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-PR2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM1,development-management,,2020-12-21,E07000007,Presumption in Favour of Sustainable Development,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM2,transport,,2020-12-21,E07000007,Transport Requirements of Development Sites,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM3,transport,,2020-12-21,E07000007,Transport Improvement Lines,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM4,area/location-specific-policy,,2020-12-21,E07000007,Former Bourne End To High Wycombe Railway Line,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM5,development-management,,2020-12-21,E07000007,Scattered Business Sites,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM5
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM6,development-management,,2020-12-21,E07000007,Mixed-Use Development,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM6
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM7,town-centres,,2020-12-21,E07000007,Town Centre Boundaries,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM7
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM8,retail-policy,,2020-12-21,E07000007,The Primary Shopping Areas,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM8
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM9,retail-policy,,2020-12-21,E07000007,District Centres,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM9
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM10,retail-policy,,2020-12-21,E07000007,Thresholds for the Assessment of Schemes for Town Centre Impact,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM10
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM11,biodiversity,,2020-12-21,E07000007,Green Networks and Infrastructure,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM11
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM12,community-facilities;designation,,2020-12-21,GIS - 19GreenSpace,Green Spaces,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM12
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM13,biodiversity;development-management;ecology,,2020-12-21,E07000007,"Conservation and Enhancement of Sites, Habitats and Species of Biodiversity and Geodiversity Importance",,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM13
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM14,biodiversity;development-management,,2020-12-21,E07000007,Biodiversity In Development,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM14
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM15,water,,2020-12-21,E07000007,Protection and Enhancement of River and Stream Corridors,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM15
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM16,open-space,,2020-12-21,E07000007,Open Space in New Development,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM16
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,dsa-DM19,infrastructure,,2020-12-21,E07000007,Infrastructure and Delivery,,local-authority-eng:BUC,2013-07-16,development-policy/local-authority-eng/BUC/dsa-DM19
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P1,development-management,,2020-12-21,E06000060,Safeguarding Mineral Resources,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P2,strategic-policy,,2020-12-21,E06000060,Spatial Strategy for Minerals Development,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P3,development-management,,2020-12-21,E06000060,Sand and Gravel Provision,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P4,allocated-sites,,2020-12-21,E06000060,Allocated Sites for Sand and Gravel Provision,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P5,development-management;mining,,2020-12-21,E06000060,Development Principles for Mineral Extraction,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P5
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P6,development-management;mining,,2020-12-21,E06000060,Borrow Pits and Extraction as an Ancillary Activity,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P6
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P7,aggregates,,2020-12-21,E06000060,Provision of Secondary and Recycled Aggregates,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P7
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P8,aggregates;rail,,2020-12-21,E06000060,Rail Aggregate Depots and Wharf Facilities,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P8
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P9,energy,,2020-12-21,E06000060,Energy Minerals,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P9
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P10,development-management;waste,,2020-12-21,E06000060,Waste Prevention and Minimisation in New Development,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P10
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P11,development-management;waste,,2020-12-21,E06000060,Waste Management Capacity Needs,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P11
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P12,development-management;waste,,2020-12-21,E06000060,Disposal to Landfill,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P12
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P13,strategic-policy;waste,,2020-12-21,E06000060,Spatial Strategy for Waste Management,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P13
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P14,development-management;waste,,2020-12-21,E06000060,Development Principles for Waste Management Facilities,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P14
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P15,waste,,2020-12-21,E06000060,Sewage Treatment Works,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P15
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P16,development-management,,2020-12-21,E06000060,Managing Impacts on Amenity and Natural Resources,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P16
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P17,transport,,2020-12-21,E06000060,Sustainable Transport,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P17
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P18,nature,,2020-12-21,E06000060,Natural Environment,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P18
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P19,heritage;conservation-area;listed-building,,2020-12-21,E06000060,Historic Environment,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P19
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P20,nature,,2020-12-21,E06000060,Landscape Character,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P20
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P21,green-belt,,2020-12-21,E06000060,Green Belt,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P21
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P22,designation;nature,,2020-12-21,E06000060,Chilterns Area of Outstanding Natural Beauty,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P22
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P23,climate-change;design,,2020-12-21,E06000060,Design and Climate Change,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P23
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P24,nature,,2020-12-21,E06000060,Environmental Enhancement,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P24
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P25,development-management,,2020-12-21,E06000060,Delivering High Quality Restoration and Aftercare,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P25
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P26,development-management;infrastructure;waste,,2020-12-21,E06000060,Safeguarding of Minerals Development and Waste Management Infrastructure,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P26
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P27,development-management,,2020-12-21,E06000060,Minimising Land Use Conflict,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P27
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,bmwlp-P28,development-management,,2020-12-21,E06000060,Implementation,,local-authority-eng:BUC,2019-07-25,development-policy/local-authority-eng/BUC/bmwlp-P28
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-HQD1,design,,2020-12-21,E04001457,High Quality Design,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-HQD1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-HQD2,design,,2020-12-21,E04001457,High Quality Design,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-HQD2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-H1,strategic-policy,,2020-12-21,E04001457,Housing - Settlement boundary,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-H1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-H2,housing,,2020-12-21,E04001457,Housing - Housing development,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-H2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-H3,affordable-housing,,2020-12-21,E04001457,Housing - Affordable housing,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-H3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-H4,specialised-housing,,2020-12-21,E04001457,Housing for Older People,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-H4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-H5,housing-mix,,2020-12-21,E04001457,Housing - Mix of housing,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-H5
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-B1,community-facilities,,2020-12-21,E04001457,Business - Community facilities,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-B1
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-B2,employment,,2020-12-21,E04001457,Business - Rural employment,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-B2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,astonclintonndp-B3,employment,,2020-12-21,E04001457,Business - New employment opportunities,,local-authority-eng:BUC,2018-08-08,development-policy/local-authority-eng/BUC/astonclintonndp-B3
